last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,price_per_area
13000000.0,108.0,3,2.7,16.0,51.0,8,1,0,0,25.0,1.1500821018062397,34,18863.0,16028.0,1.0,482.0,2.0,755.0,120370.37037037036
3350000.0,40.4,1,2.77149889685604,11.0,18.6,1,1,0,0,11.0,2.0,327,12817.0,18603.0,0.0,490.80455501918556,0.0,517.9809001097694,82920.79207920792
5196000.0,56.0,2,2.77149889685604,5.0,34.3,4,1,0,0,8.3,0.0,34,21741.0,13933.0,1.0,90.0,2.0,574.0,92785.71428571429
64900000.0,159.0,3,2.77149889685604,14.0,34.457852427601395,9,1,0,0,10.569807198543485,0.0,34,28098.0,6800.0,2.0,84.0,3.0,234.0,408176.10062893084
10000000.0,100.0,2,3.03,14.0,32.0,13,1,0,0,41.0,1.1500821018062397,34,31856.0,8098.0,2.0,112.0,1.0,48.0,100000.0
2890000.0,30.4,1,2.77149889685604,12.0,14.4,5,1,0,0,9.1,1.1500821018062397,57,28793.67219254282,14191.277832783278,0.6114075133381002,490.80455501918556,0.7702546614597657,517.9809001097694,95065.78947368421
3700000.0,37.3,1,2.77149889685604,26.0,10.6,6,1,0,0,14.4,1.0,297,52996.0,19143.0,0.0,490.80455501918556,0.0,517.9809001097694,99195.71045576409
7915000.0,71.6,2,2.77149889685604,24.0,34.457852427601395,22,1,0,0,18.9,2.0,34,23982.0,11634.0,0.0,490.80455501918556,0.0,517.9809001097694,110544.69273743017
2900000.0,33.16,1,2.77149889685604,27.0,15.43,26,1,0,0,8.81,1.1500821018062397,292,28793.67219254282,14191.277832783278,0.6114075133381002,490.80455501918556,0.7702546614597657,517.9809001097694,87454.76477683957
5400000.0,61.0,3,2.5,9.0,43.6,7,1,0,0,6.5,2.0,34,50898.0,15008.0,0.0,490.80455501918556,0.0,517.9809001097694,88524.59016393442
5050000.0,39.6,1,2.67,12.0,20.3,3,1,0,0,8.5,1.1500821018062397,34,38357.0,13878.0,1.0,310.0,2.0,553.0,127525.25252525252
3300000.0,44.0,2,2.77149889685604,5.0,31.0,4,0,0,0,6.0,1.0,19,48252.0,51677.0,0.0,490.80455501918556,0.0,517.9809001097694,75000.0
3890000.0,54.0,2,2.77149889685604,5.0,30.0,5,1,0,0,9.0,0.0,36,28793.67219254282,14191.277832783278,0.6114075133381002,490.80455501918556,0.7702546614597657,517.9809001097694,72037.03703703704
3550000.0,42.8,2,2.56,5.0,27.0,5,1,0,0,5.2,1.0,28,37868.0,33058.0,1.0,294.0,3.0,298.0,82943.92523364487
4400000.0,36.0,1,2.77149889685604,6.0,17.0,1,1,0,0,8.0,0.0,33,20782.0,30759.0,0.0,490.80455501918556,1.0,96.0,122222.22222222222
4650000.0,39.0,1,2.77149889685604,14.0,20.5,5,1,0,0,7.6,1.0,34,12900.0,14259.0,1.0,590.0,1.0,296.0,119230.76923076923
6700000.0,82.0,3,3.05,5.0,55.6,1,1,0,0,9.0,1.1500821018062397,34,22108.0,10698.0,3.0,420.0,0.0,517.9809001097694,81707.31707317074
4180000.0,36.0,1,2.77149889685604,17.0,16.5,7,1,0,0,11.0,1.0,34,33564.0,14616.0,0.0,490.80455501918556,1.0,859.0,116111.11111111111
3250000.0,31.0,1,2.5,5.0,19.4,2,1,0,0,5.6,1.0,34,44060.0,10842.0,1.0,759.0,0.0,517.9809001097694,104838.70967741935
14200000.0,121.0,3,2.75,16.0,76.0,8,1,0,0,12.0,1.1500821018062397,34,38900.0,12843.0,0.0,490.80455501918556,0.0,517.9809001097694,117355.37190082645
6120000.0,80.0,3,2.7,27.0,48.0,11,1,0,0,12.0,2.0,297,53134.0,19311.0,0.0,490.80455501918556,0.0,517.9809001097694,76500.0
3200000.0,31.6,1,2.77149889685604,5.0,16.9,2,1,0,0,5.7,1.0,34,36064.0,9722.0,1.0,248.0,0.0,517.9809001097694,101265.82278481012
5000000.0,58.0,2,2.75,25.0,30.0,15,1,0,0,11.0,2.0,94,28793.67219254282,14191.277832783278,0.6114075133381002,490.80455501918556,0.7702546614597657,517.9809001097694,86206.89655172414
2950000.0,32.0,1,2.6,9.0,17.7,9,1,0,0,6.1,1.1500821018062397,34,15414.0,14211.0,2.0,517.0,1.0,190.0,92187.5
6500000.0,97.2,2,2.77149889685604,3.0,46.5,1,1,0,0,19.6,0.0,34,20052.0,2336.0,3.0,411.0,3.0,124.0,66872.42798353909
